Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1612.000000,1645.949951,1532.050049,1609.550049,1591.301147,281250547
2023-04-01,1607.550049,1720.000000,1602.750000,1687.599976,1668.466187,296725881
2023-05-01,1687.599976,1734.449951,1597.349976,1610.849976,1592.586304,385815045
2023-06-01,1619.900024,1708.800049,1579.000000,1701.400024,1701.400024,275004627
2023-07-01,1712.500000,1757.500000,1627.150024,1651.199951,1651.199951,464367195
2023-08-01,1654.449951,1667.449951,1558.400024,1571.449951,1571.449951,421683081
2023-09-01,1571.000000,1670.000000,1515.000000,1526.300049,1526.300049,513813831
2023-10-01,1526.300049,1555.750000,1460.250000,1476.500000,1476.500000,315087949
2023-11-01,1462.250000,1572.449951,1462.250000,1558.800049,1558.800049,291248424
2023-12-01,1557.900024,1721.400024,1552.099976,1709.250000,1709.250000,378265221
2024-01-01,1706.000000,1709.150024,1380.250000,1462.550049,1462.550049,598017167
2024-02-01,1465.050049,1480.849976,1387.000000,1403.599976,1403.599976,168912307
2024-02-12,1399.650024,1413.650024,1383.349976,1390.000000,1390.000000,17216671
